Name,CategoriesTags,Address,City,State,Country,Zip,Phone,Fax,email,website,External URL,description,Operating Hours
A New Beginning Women's Healthcare,,11401 S Western Ave.,Oklahoma City,OK,,73170,405-735-3041,,,,,,
A New Beginning Women's Healthcare,,11401 S Western Ave.,Oklahoma City,OK,,73170,405-735-3041,,,,,,
A New Beginning Women's Healthcare,,11401 S Western Ave.,Oklahoma City,OK,,73170,405-735-3041,,,,,,
A New Creation Women's Clinic,,2001 West Orange Grove Rd. #308,Tucson,AZ,,85704,520-293-1117,,,www.anewcreationwomensclinic.com,,,
A Place for Wellness,,10011 Seminole Blvd.,Seminole,FL,,33772,727-393-2800,,,www.aplaceforwomen.com,,,
A Place for Wellness,,10011 Seminole Blvd.,Seminole,FL,,33772,727-393-2800,,,www.aplaceforwomen.com,,,
A Place for Wellness,,10011 Seminole Blvd.,Seminole,FL,,33772,727-393-2800,,,www.aplaceforwomen.com,,,
A Place for Wellness,,10011 Seminole Blvd.,Seminole,FL,,33772,727-393-2800,,,www.aplaceforwomen.com,,,
A Place for Wellness,,10011 Seminole Blvd.,Seminole,FL,,33772,727-393-2800,,,www.aplaceforwomen.com,,,
A4E Institute,,2912 Douglas Road,Coral Gables,FL,,33134,305-444-5950,,,,,,
ABC Medical Clinic,,1011 N. Hinckley St.,Holdenville,OK,,74848,405-592-3500,,,,,,
ABC Medical Clinic,,1011 N. Hinckley St.,Holdenville,OK,,74848,405-592-3500,,,,,,
Abicenna Skin & Laser Clinic,,"13575 W. Indian School Road, Suite 300 ",Litchfield Park,AZ,,85340,623-455-8554,,,http://abicenna.com ,,,
Abraham Medical Clinic,,920 N. 8th St.,Hollis,OK,,73550,580-688-2200,,,,,,
Absolute Health Medical Center,,4765 Village Plaza Loop Suite 201,Eugene,OR,,97501,541-636-3100,,,www.absolutehealtheugene.com,,,
"Acadia Total Health, LLc ",,1307 Crowley-Rayne Hwy Suite E,Crowley,LA,,70526,337-210-4045,,,,,,
"Acadia Total Health, LLc ",,1307 Crowley-Rayne Hwy Suite E,Crowley,LA,,70526,337-210-4045,,,,,,
Acadiana Health & Aesthetics,,202 Rue Promenade ,Lafayette,LA,,70508,337-806-9161,,,www.acadianahealthandaesthetics.com ,,,
Acadiana Health & Aesthetics,,202 Rue Promenade ,Lafayette,LA,,70508,337-806-9161,,,www.acadianahealthandaesthetics.com ,,,
Acadiana Health & Aesthetics,,202 Rue Promenade ,Lafayette,LA,,70508,337-806-9161,,,www.acadianahealthandaesthetics.com ,,,
Accountable Care Now,,109 NW 2nd Street,Mineral Wells,TX,,76067,940-654-6200,,,,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center,,7711 Louis Pasteur Dr. Suite 816,San Antonio,TX,,78229,210-692-9500,,,www.sevenoakswomens.com,,,
Acorn Wellness / Seven Oaks Women's Center Westover,,"9842 Westover Hills Blvd, Suite 115",San Antonio,TX,,78251,210-692-9500,,,http://www.sevenoakswomens.com/wellness-center/,,,
Acorn Wellness / Seven Oaks Women's Center Westover,,"9842 Westover Hills Blvd, Suite 115",San Antonio,TX,,78251,210-692-9500,,,http://www.sevenoakswomens.com/wellness-center/,,,
Acorn Wellness / Seven Oaks Women's Center Westover,,"9842 Westover Hills Blvd, Suite 115",San Antonio,TX,,78251,210-692-9500,,,http://www.sevenoakswomens.com/wellness-center/,,,
Acorn Wellness / Seven Oaks Women's Center Westover,,"9842 Westover Hills Blvd, Suite 115",San Antonio,TX,,78251,210-692-9500,,,http://www.sevenoakswomens.com/wellness-center/,,,
Acorn Wellness / Seven Oaks Women's Center Westover,,"9842 Westover Hills Blvd, Suite 115",San Antonio,TX,,78251,210-692-9500,,,http://www.sevenoakswomens.com/wellness-center/,,,
Acton Medical Clinic,,2006 Fall Creek Highway,Acton,TX,,76049,817-326-3440,,,,,,
Acton Medical Clinic,,2006 Fall Creek Highway,Acton,TX,,76049,817-326-3440,,,,,,
Acute Alternative Medical Group,,"4000 Ruby Plaza, Suite 3",Christansted,VI,,00820-4414,340-772-2883,,,www.acutealternative.com,,,
Acute Alternative Medical Group,,"4000 Ruby Plaza, Suite 3",Christansted,VI,,00820-4414,340-772-2883,,,www.acutealternative.com,,,
Acute and Chronic Pain and Spine Center,,24 Care Circle,Amarillo,TX,,79124,806-576-4137,,,,,,
Acute and Chronic Pain and Spine Center,,24 Care Circle,Amarillo,TX,,79124,806-576-4137,,,,,,
Acute and Chronic Pain and Spine Center,,24 Care Circle,Amarillo,TX,,79124,806-576-4137,,,,,,
Ada Health First ,,"1414 Arlington, Suite 2300",Ada,OK,,74820,580-279-6002,,,,,,
Ada Health First ,,"1414 Arlington, Suite 2300",Ada,OK,,74820,580-279-6002,,,,,,
Ada Health First,,"1201 Arlington, Suite F",Ada,OK,,74820,580-279-1788,,,,,,
Ada Health First,,"1201 Arlington, Suite F",Ada,OK,,74820,580-279-1788,,,,,,
Adams Wellness and Aesthetics ,,300 Bridlewood Dr,Fayetteville,TN,,37334,256-426-8072,,,,,,
Adena OBGYN,,4439 SR 159 Suite 120,Chillicothe,OH,,45601,740-779-7275,,,,,,
Adena OBGYN,,4439 SR 159 Suite 120,Chillicothe,OH,,45601,740-779-7275,,,,,,
Adena OBGYN,,4439 SR 159 Suite 120,Chillicothe,OH,,45601,740-779-7275,,,,,,
Adhara Aesthetic Center,,1045 Kane Concourse Suite 205,Bay Harbor Islands,FL,,33154,305-868-4811,,,,,,
Adler Facial Plastic Surgery & Wellness Center,,576 Cesar Gonzalez,San Juan,PR,,918,787-751-3361,,,www.hormonasbioidenticaspr.com,,,
Adler Wellness & Interventional Therapies,,"Suite 207, Calle Cesar Gonzalez #576",Hato Rey,PR,,918,787-751-3361,,,,,,
Adler Wellness & Interventional Therapies,,"Suite 207, Calle Cesar Gonzalez #576",Hato Rey,PR,,918,787-751-3361,,,,,,
Adler Wellness & Interventional Therapies,,"Suite 207, Calle Cesar Gonzalez #576",Hato Rey,PR,,918,787-751-3361,,,,,,
Adult & Pediatric Urology,,600 E. Taylor St. Ste 201,Sherman,TX,,75090,903-957-1104,,,www.sajurology.com,,,
Adult & Pediatric Urology,,600 E. Taylor St. Ste 201,Sherman,TX,,75090,903-957-1104,,,www.sajurology.com,,,
Adult & Pediatric Urology,,600 E. Taylor St. Ste 201,Sherman,TX,,75090,903-957-1104,,,www.sajurology.com,,,
Adult & Pediatric Urology,,600 E. Taylor St. Ste 201,Sherman,TX,,75090,903-957-1104,,,www.sajurology.com,,,
Adult & Pediatric Urology,,600 E. Taylor St. Ste 201,Sherman,TX,,75090,903-957-1104,,,www.sajurology.com,,,
Adult & Pediatric Urology,,600 E. Taylor St. Ste 201,Sherman,TX,,75090,903-957-1104,,,www.sajurology.com,,,
Advanced Center for Plastic Surgery,,12205 Tullamore Road,Timonium,MD,,21093,410-308-4700,,,www.beverlyfischer.com,,,
Advanced Center for Plastic Surgery,,12205 Tullamore Road,Timonium,MD,,21093,410-308-4700,,,www.beverlyfischer.com,,,
Advanced Center for Plastic Surgery,,12205 Tullamore Road,Timonium,MD,,21093,410-308-4700,,,www.beverlyfischer.com,,,
Advanced Center for Plastic Surgery,,12205 Tullamore Road,Timonium,MD,,21093,410-308-4700,,,www.beverlyfischer.com,,,
Advanced Health,,9030 W Fort Island Trail #10,Crystal River,FL,,34429,352-563-2597,,,www.mydrhorn.org,,,
"Advanced Health Clinic, LLC",,"630 W. Shepard Lane, #102",Farmington,UT,,84025,801-447-8680,,,www.advancedhealthclinic.com,,,
"Advanced Health Clinic, LLC",,"630 W. Shepard Lane, #102",Farmington,UT,,84025,801-447-8680,,,www.advancedhealthclinic.com,,,
Advanced Healthcare,,2035 N. College Ste. 1,Fayetteville,AR,,72703,479-571-2273,,,http://advancedhealthcarenwa.com/,,,
Advanced Hormone Solutions,,311 W. Main,Marlow,OK,,73055,580-756-4076,,,,,,
Advanced Individualized Medicine of Naples,,"720 Goodlette Road, N, Suite 204",Naples,FL,,34102,239-260-3880,,,www.naplesaim.com,,,
Advanced Institute for Women's Health,,"1710 East Saunders St., Suite B485",Laredo,TX,,78041,956-712-2229,,,www.aifwh.com,,,
Advanced Institute for Women's Health,,"1710 East Saunders St., Suite B485",Laredo,TX,,78041,956-712-2229,,,www.aifwh.com,,,
Advanced Integrative Wellness,,"8041 Hosbrook Rd, Ste 404",Cincinnati,OH,,45236,513-509-2484,,,,,,
Advanced Integrative Wellness,,"8041 Hosbrook Rd, Ste 404",Cincinnati,OH,,45236,513-509-2484,,,,,,
Advanced Medical Center,,"2127 E Baseline Road, Suite 104",Tempe,AZ,,85283,480-897-7070,,,www.azadvanced.com,,,
Advanced Medicine of Orange County,,3751 S Plaza Drive,Santa Ana,CA,,92704,714-754-1560,,,www.advancedmedicineoc.com,,,
"Advanced Ob Gyn, PSC",,Bo Rincon Sector Lomas Carretera 14 Interior KM 0.3 Hospital Menonita de Cayey Edificio Profesional Suite 311,Cayey,PR,,736,787-738-9938,,,,,,
Advanced OBGYN & Associates,,"3201 E. President George Bush Turnpike, Suite 107",Richardson,TX,,75082,972-276-9902,,,www.advancedobgynassociates.com,,,
Advanced OBGYN & Associates,,"3201 E. President George Bush Turnpike, Suite 107",Richardson,TX,,75082,972-276-9902,,,www.advancedobgynassociates.com,,,
Advanced OBGYN & Associates,,"3201 E. President George Bush Turnpike, Suite 107",Richardson,TX,,75082,972-276-9902,,,www.advancedobgynassociates.com,,,
Advanced OBGYN & Associates,,"3201 E. President George Bush Turnpike, Suite 107",Richardson,TX,,75082,972-276-9902,,,www.advancedobgynassociates.com,,,
Advanced Plastic Surgery Center,,"8900 Eastloch Dr, Ste 105",Spring,TX,,77379,281-655-8200,,,www.doctorperlman.com,,,
Advanced Plastic Surgery Center,,"8900 Eastloch Dr, Ste 105",Spring,TX,,77379,281-655-8200,,,www.doctorperlman.com,,,
"Advanced Rehab and Medical, P.A.",,149 North Star Drive,Jackson,TN,,38305,731-664-6998,,,www.advancedrehabjackson.com,,,
Advanced Urological Institute,,"Torre Medica1, Suite 312, Edif Pedro Blanco",Manati,PR,,674,787-854-7733,,,,,,
Advanced Urology & Wellness Center,,4200 West Okmulgee,Muskogee,OK,,74401,918-683-5025,,,,,,
Advanced Wellness Center,,9836 US 441,Leesburg,FL,,34788,352-787-8531,,,,,,
Advanced Women's Center for Wellness,,12201 Merit Dr. Ste 350,Dallas,TX,,75251,214-238-7888,,,www.awhdallas.com,,,
Advanced Women's Center for Wellness,,12201 Merit Dr. Ste 350,Dallas,TX,,75251,214-238-7888,,,www.awhdallas.com,,,
Advanced Women's Center for Wellness,,12201 Merit Dr. Ste 350,Dallas,TX,,75251,214-238-7888,,,www.awhdallas.com,,,
Advanced Women's Center for Wellness,,12201 Merit Dr. Ste 350,Dallas,TX,,75251,214-238-7888,,,www.awhdallas.com,,,
Advanced Women's Center for Wellness,,12201 Merit Dr. Ste 350,Dallas,TX,,75251,214-238-7888,,,www.awhdallas.com,,,
Advanced Women's Center for Wellness,,12201 Merit Dr. Ste 350,Dallas,TX,,75251,214-238-7888,,,www.awhdallas.com,,,
Advanced Women's Center for Wellness,,12201 Merit Dr. Ste 350,Dallas,TX,,75251,214-238-7888,,,www.awhdallas.com,,,
Advanced Women's Center for Wellness,,12201 Merit Dr. Ste 350,Dallas,TX,,75251,214-238-7888,,,www.awhdallas.com,,,
Advanced Women's Health,,"1151 Marguerite Street, Suite 700A",Morgan City,LA,,70380,985-221-4400,,,,,,
Advanced Women's Healthcare ,,2875 Jimmy Johnson Blvd #100,Port Arthur,TX,,77640,409-729-9222,,,www.advancedwomenshealthcare.org,,,
Advanced Women's Healthcare ,,2875 Jimmy Johnson Blvd #100,Port Arthur,TX,,77640,409-729-9222,,,www.advancedwomenshealthcare.org,,,
Advanced Women's Healthcare ,,2875 Jimmy Johnson Blvd #100,Port Arthur,TX,,77640,409-729-9222,,,www.advancedwomenshealthcare.org,,,
Advanced Women's Healthcare ,,2875 Jimmy Johnson Blvd #100,Port Arthur,TX,,77640,409-729-9222,,,www.advancedwomenshealthcare.org,,,
Advanced Women's Healthcare ,,2875 Jimmy Johnson Blvd #100,Port Arthur,TX,,77640,409-729-9222,,,www.advancedwomenshealthcare.org,,,
"Advanced Women's Healthcare Specialists, S.C.",,"800 Biesterfield Rd., Suite 750",Elk Grove Village,IL,,60007,847-981-3698,,,www.advancedwomenscarecenter.com,,,
"Advanced Women's Healthcare Specialists, S.C.",,"800 Biesterfield Rd., Suite 750",Elk Grove Village,IL,,60007,847-981-3698,,,www.advancedwomenscarecenter.com,,,
"Advanced Women's Healthcare Specialists, S.C.",,"800 Biesterfield Rd., Suite 750",Elk Grove Village,IL,,60007,847-981-3698,,,www.advancedwomenscarecenter.com,,,
"Advanced Women's Healthcare Specialists, S.C.",,"800 Biesterfield Rd., Suite 750",Elk Grove Village,IL,,60007,847-981-3698,,,www.advancedwomenscarecenter.com,,,
"Advanced Women's Healthcare Specialists, S.C.",,"800 Biesterfield Rd., Suite 750",Elk Grove Village,IL,,60007,847-981-3698,,,www.advancedwomenscarecenter.com,,,
Advanced Women's Wellness,,21402 Provincial Blvd,Katy,TX,,77450,281-398-0777,,,http://www.drsobarzo.com/ ,,,
Advanced Women's Wellness,,21402 Provincial Blvd,Katy,TX,,77450,281-398-0777,,,http://www.drsobarzo.com/ ,,,
Advocare Sterling Medical Associates,,300 South Warwick Rd,Somerdale,NJ,,8083,856-784-6666,,,,,,
Advocare Sterling Medical Associates,,300 South Warwick Rd,Somerdale,NJ,,8083,856-784-6666,,,,,,
AenCC,,1875 Rd. 2 Suite 301 Medical Opthalmic Plaza,Bayamon,PR,,959,787-778-6195,,,,,,
Aesthetic & Acupuncture Clinic of Texas,,354 Stone Hill Drive,Brenham,TX,,77833,979-421-6300,,,,,,
Aesthetic & Acupuncture Clinic of Texas,,354 Stone Hill Drive,Brenham,TX,,77833,979-421-6300,,,,,,
Aesthetic Boutique Medspa,,"4273 Montgomery Blvd. NE, Ste K-260",Albuquerque,NM,,87109,505-401-5395,,,www.aestheticboutiquemedspa.com,,,
Aesthetic Solutions,,2939 N Rock Rd Suite 100,Wichita,KS,,67226,316-708-4451,,,www.aestheticsolutionsks.com,,,
Aesthetic Solutions,,2939 N Rock Rd Suite 100,Wichita,KS,,67226,316-708-4451,,,www.aestheticsolutionsks.com,,,
Aesthetica,,385 West 600 North,Lindon,UT,,84042,801-785-8825,,,www.aesthetica.com,,,
Aesthetica,,385 West 600 North,Lindon,UT,,84042,801-785-8825,,,www.aesthetica.com,,,
Aesthetica,,385 West 600 North,Lindon,UT,,84042,801-785-8825,,,www.aesthetica.com,,,
Affiliates of Family Medicine,,"28517 Spring Trails Ridge, Suite 100",Spring,TX,,77386,281-362-5436,,,www.affiliatesoffamilymedicine.com,,,
Affiliates of Family Medicine,,"28517 Spring Trails Ridge, Suite 100",Spring,TX,,77386,281-362-5436,,,www.affiliatesoffamilymedicine.com,,,
Affiliates of Family Medicine,,"28517 Spring Trails Ridge, Suite 100",Spring,TX,,77386,281-362-5436,,,www.affiliatesoffamilymedicine.com,,,
Affinity Medical,,6200 S McClintock Dr #104,Tempe,AZ,,85283,480-388-3666,,,,,,
Affordable Healthcare PC,,"3343 Center Grove Drive, Suite H",Dubuque,IA,,52003,563-582-1000,,,,,,
AG Patel MD Anti-Aging & Regenerative Medicine,,500 N. Highway 67,Cedar Hill,TX,,75104,972-291-4289,,,www.agpatelmd.com,,,
Age Well MD,,2 Steele Street #200,Denver,CO,,80206,720-361-8080,,,agewellmd-denver.com,,,
Age Well MD,,2 Steele Street #200,Denver,CO,,80206,720-361-8080,,,agewellmd-denver.com,,,
AgeDefy Hormone Health and Weight Loss,,1230 Slaughter Road #C,Madison,AL,,35758,256-722-0555,,,www.madisonfamilycare.com,,,
Ageless Aesthetics,,98B Tommy Stalnaker Dr.  ,Warner Robins,GA,,31088,478-333-2595,,,www.womenshealthmacon.com,,,
Ageless Atlanta,,939 Thorton Rd.,Lithia Springs,GA,,30122,770-543-9224,,,www.hormoneatlanta.com,,,
Ageless Atlanta,,939 Thorton Rd.,Lithia Springs,GA,,30122,770-543-9224,,,www.hormoneatlanta.com,,,
Ageless Expressions MedSpa,,2516 W. Main Street,Littleton,CO,,80120,720-532-1856,,, http://www.agelessexpressionsmedspa.com,,,
Ageless Expressions MedSpa,,2516 W. Main Street,Littleton,CO,,80120,720-532-1856,,, http://www.agelessexpressionsmedspa.com,,,
Ageless Expressions MedSpa,,2516 W. Main Street,Littleton,CO,,80120,720-532-1856,,, http://www.agelessexpressionsmedspa.com,,,
Ageless Expressions MedSpa,,2516 W. Main Street,Littleton,CO,,80120,720-532-1856,,, http://www.agelessexpressionsmedspa.com,,,
Ageless Expressions MedSpa,,2516 W. Main Street,Littleton,CO,,80120,720-532-1856,,, http://www.agelessexpressionsmedspa.com,,,
Ageless Expressions MedSpa,,2516 W. Main Street,Littleton,CO,,80120,720-532-1856,,, http://www.agelessexpressionsmedspa.com,,,
Ageless Expressions MedSpa,,720 14th St.,Golden,CO,,80401,720-532-1856,,,www.AgelessExpressions.com,,,
Ageless Image Med Spa,,214 S. Palestine,Athens,TX,,75751,903-264-7400,,,www.athenswcc.com,,,
Ageless Image Med Spa,,214 S. Palestine,Athens,TX,,75751,903-264-7400,,,www.athenswcc.com,,,
Ageless MD,,14001 Newport Ave. Suite F,Tustin,CA,,92780,714-760-9918,,,www.ageless-md.com,,,
Ageless Rejuvenation,,1753 N. College #100,Fayetteville,AR,,72703,479-442-5678,,,,,,
Ageless Rejuvenation,,1753 N. College #100,Fayetteville,AR,,72703,479-442-5678,,,,,,
"Ahab M. Gabriel, MD",,87 Brunswick Woods Dr ,East Brunswick ,NJ,,8816,732-651-7122,,,,,,
"Aimee Fernandez-Green, ARNP",,"1398 SW 160th Ave, Suite 502",Sunrise,FL,,33326,954-384-2925,,,https://www.vitadox.com/sunrise/fl/33326/weston-medical-rehab-and-wellness.html,,,
Ajeless Health and Medical Spa,,118 Maincentre,Northville,MI,,48167,248-465-8000,,,www.ajeless.com,,,
Ajeless Health and Medical Spa,,118 Maincentre,Northville,MI,,48167,248-465-8000,,,www.ajeless.com,,,
Ajeless Health and Medical Spa,,118 Maincentre,Northville,MI,,48167,248-465-8000,,,www.ajeless.com,,,
Akron Clinic,,82 Main St.,Akron,CO,,80720,970-345-6336,,,,,,
Akron Clinic,,82 Main St.,Akron,CO,,80720,970-345-6336,,,,,,
Alabama Urology & Robotic Center,,1210 14th Ave. SE,Decatur,AL,,35601,256-353-0605,,,www.alabamaurology.com,,,
Alabama Urology & Robotic Center,,1210 14th Ave. SE,Decatur,AL,,35601,256-353-0605,,,www.alabamaurology.com,,,
Alade Medical Weight Loss & Wellness,,"17510 W. Grand Parkway, Suite 320",Sugarland,TX,,77479,832-441-4975,,,,,,
Alaric Health Beauty and Wellness,,1080 Edgewood Ave. South,Jacksonville,FL,,32205,904-384-9007,,,www.alarichealth.com,,,
Alaska Center for Pain Relief,,"3851 Piper Street, U464",Anchorage,AK,,99508,907-339-4800,,,www.painlessalaska.com,,,
Alaska Center for Pain Relief,,"3851 Piper Street, U464",Anchorage,AK,,99508,907-339-4800,,,www.painlessalaska.com,,,
"Alexander S. Roka MD, PA",,"20658 Stone Oak Pkwy, Suite 108",San Antonio,TX,,78258,210-403-3220,,,,,,
"Alexandria Healthcare for Women, LLC",,"3302 Masonic Drive, Suite 4002",Alexandria,LA,,71301,318-445-3636,,,www.alexandriahealthcare.com,,,
"Alexandria Healthcare for Women, LLC",,"3302 Masonic Drive, Suite 4002",Alexandria,LA,,71301,318-445-3636,,,www.alexandriahealthcare.com,,,
Alexandria Women's Center,,3304 Masonic Dr. Suite 4001,Alexandria,LA,,71301,318-443-7222,,,www.alexwc.com,,,
"Alfonso Gonzalez, MD, PA",,501 Bernice Ave,Odessa,TX,,79763,432-333-1300,,,,,,
"Alfonso Gonzalez, MD, PA",,501 Bernice Ave,Odessa,TX,,79763,432-333-1300,,,,,,
ALGYN,,"Carr #2 KM, Torre Medica 1 Suite 209",Manati,PR,,674,787-884-5085,,,www.algyn.com,,,
Ali'i Wellness,,"180 Dickenson Street, Ste #218",Lahaina,HI,,96761,808-667-9554,,,www.drlinshawaii.com,,,
Ali'i Wellness,,"180 Dickenson Street, Ste #218",Lahaina,HI,,96761,808-667-9554,,,www.drlinshawaii.com,,,
"Alice Babst Prestia, MD, APMC",,"4150 Nelson Rd. Building E, Suite 3",Lake Charles,LA,,70605,337-475-8949,,,www.dralicebprestia.com,,,
"Alice Babst Prestia, MD, APMC",,"4150 Nelson Rd. Building E, Suite 3",Lake Charles,LA,,70605,337-475-8949,,,www.dralicebprestia.com,,,
Alison Wellness Clinic,,900 Bob Wallace Ave Suite 111,Huntsville,AL,,35801,256-489-5748,,,www.alisonwellnessclinic.com,,,
All About Women,,"1015 SE 17th Street, Suite 200",Ocala,FL,,34471,352-561-3222,,,www.allaboutobgyn.com,,,
All About Women,,"1015 SE 17th Street, Suite 200",Ocala,FL,,34471,352-561-3222,,,www.allaboutobgyn.com,,,
All About Women,,"1015 SE 17th Street, Suite 200",Ocala,FL,,34471,352-561-3222,,,www.allaboutobgyn.com,,,
All About Women's Care,,701 E. Hampden #120,Englewood,CO,,80113,303-781-5299,,,www.allaboutwomenscare.com,,,
All About Women's Care,,701 E. Hampden #120,Englewood,CO,,80113,303-781-5299,,,www.allaboutwomenscare.com,,,
All About Women's Care,,701 E. Hampden #120,Englewood,CO,,80113,303-781-5299,,,www.allaboutwomenscare.com,,,
All About Women's Care,,701 E. Hampden #120,Englewood,CO,,80113,303-781-5299,,,www.allaboutwomenscare.com,,,
All About You Medical Spa,,79 S Benson Road,Fairfield,CT,,6824,844-226-8863,,,www.all-about-you-med-spa.com,,,
"All Physical Medicine & Rehabilitation, PA",,"6801 NW 9 Blvd., Suite 4",Gainesville,FL,,32605,352-367-3422,,,allphysical@aol.com,,,
Allen Family Medicine,,"7233 E. Baseline Rd, Suite 126",Mesa,AZ,,85209,480-699-2222,,,www.allenfamilymed.com,,,
Allen Family Medicine,,"7233 E. Baseline Rd, Suite 126",Mesa,AZ,,85209,480-699-2222,,,www.allenfamilymed.com,,,
"Allen Health Clinic, LLC",,202 W. Broadway,Allen,OK,,74825,580-857-2424,,,www.holdenvillehospital.com,,,
Alliance Medical Center,,13734 State Hwy. 249 #B,Houston,TX,,77086,281-591-0500,,,www.alliancemedicalcenter.org,,,
Alliance Medical Center,,13734 State Hwy. 249 #B,Houston,TX,,77086,281-591-0500,,,www.alliancemedicalcenter.org,,,
Alliance Medical Center,,13734 State Hwy. 249 #B,Houston,TX,,77086,281-591-0500,,,www.alliancemedicalcenter.org,,,
Alliance Medical Spa,,1327 Hemphill St. #100,Fort Worth,TX,,76104,817-306-9494,,,,,,
Allied Health and Wellness,,3101 S. Boyd Drive,Carlsbad,NM,,88220,575-689-8233,,,www.alliedhw.com,,,
Allied Health and Wellness,,3101 S. Boyd Drive,Carlsbad,NM,,88220,575-689-8233,,,www.alliedhw.com,,,
Allied Health and Wellness,,3101 S. Boyd Drive,Carlsbad,NM,,88220,575-689-8233,,,www.alliedhw.com,,,
Alpha Omega Health Center,,1792 Woodstock Road #450 ,Roswell,GA,,30075,770-642-8886,,,http://www.aohcroswell.com,,,
Alpharetta Wellness Clinic,,"5755 North Point Pkwy, #89",Alpharetta,GA,,30022,770-777-0129,,,www.alpharettawellness.com,,,
Alpine Family Health Care Services,,910 E. Lockhart Ave.,Alpine,TX,,79830,432-837-1541,,,www.alpinefamilypract.com,,,
